Date,GV6_0025,IGN-GV6_0006
2021-09-04T18:29:43.000Z,29.3,
2021-09-04T18:39:43.000Z,29.3,
2021-09-04T18:49:43.000Z,29.2,
2021-09-04T18:59:43.000Z,29.2,
2021-09-04T19:09:43.000Z,29.2,
2021-09-04T19:19:43.000Z,29.1,
2021-09-04T19:29:43.000Z,29.1,
2021-09-04T19:39:43.000Z,29,
2021-09-04T19:49:43.000Z,29,
2021-09-04T19:59:43.000Z,29,
2021-09-04T20:09:43.000Z,28.9,
2021-09-04T20:19:43.000Z,28.9,
2021-09-04T20:29:43.000Z,28.9,
2021-09-04T20:39:43.000Z,28.8,
2021-09-04T20:49:43.000Z,28.7,
2021-09-04T20:59:43.000Z,28.7,
2021-09-04T21:09:43.000Z,28.6,
2021-09-04T21:19:43.000Z,28.6,
2021-09-04T21:29:43.000Z,28.6,
2021-09-04T21:39:43.000Z,28.6,
2021-09-04T21:49:43.000Z,28.5,
2021-09-04T21:59:43.000Z,28.5,
2021-09-04T22:09:43.000Z,28.5,
2021-09-04T22:19:43.000Z,28.5,
2021-09-04T22:29:43.000Z,28.4,
2021-09-04T22:39:43.000Z,28.4,
2021-09-04T22:49:43.000Z,28.3,
2021-09-04T22:59:43.000Z,28.3,
2021-09-04T23:09:43.000Z,28.3,
2021-09-04T23:19:43.000Z,28.3,
2021-09-04T23:29:43.000Z,28.2,
2021-09-04T23:39:43.000Z,28.2,
2021-09-04T23:49:43.000Z,28.3,
2021-09-04T23:59:43.000Z,28.2,
2021-09-05T00:09:43.000Z,28.2,
2021-09-05T00:19:43.000Z,28.2,
2021-09-05T00:29:43.000Z,28.2,
2021-09-05T00:39:43.000Z,28.2,
2021-09-05T00:49:43.000Z,28.1,
2021-09-05T00:59:43.000Z,28.1,
2021-09-05T01:09:43.000Z,28.1,
2021-09-05T01:19:43.000Z,28,
2021-09-05T01:29:43.000Z,28,
2021-09-05T01:39:43.000Z,28,
2021-09-05T01:49:43.000Z,27.9,
2021-09-05T01:59:43.000Z,28,
2021-09-05T02:09:43.000Z,27.9,
2021-09-05T02:19:43.000Z,27.9,
2021-09-05T02:29:43.000Z,27.9,
2021-09-05T02:39:43.000Z,27.8,
2021-09-05T02:49:43.000Z,27.8,
2021-09-05T02:59:43.000Z,27.8,
2021-09-05T03:09:43.000Z,27.8,
2021-09-05T03:19:43.000Z,27.7,
2021-09-05T03:29:43.000Z,27.7,
2021-09-05T03:39:43.000Z,27.7,
2021-09-05T03:49:43.000Z,27.7,
2021-09-05T03:59:43.000Z,27.7,
2021-09-05T04:09:43.000Z,27.6,
2021-09-05T04:19:43.000Z,27.6,
2021-09-05T04:29:43.000Z,27.6,
2021-09-05T04:39:43.000Z,27.6,
2021-09-05T04:49:43.000Z,27.5,
2021-09-05T04:59:43.000Z,27.5,
2021-09-05T05:09:43.000Z,27.5,
2021-09-05T05:19:43.000Z,27.5,
2021-09-05T05:29:43.000Z,27.4,
2021-09-05T05:39:43.000Z,27.4,
2021-09-05T05:49:43.000Z,27.4,
2021-09-05T05:59:43.000Z,27.4,
2021-09-05T06:09:43.000Z,27.4,
2021-09-05T06:19:43.000Z,27.3,
2021-09-05T06:29:43.000Z,27.4,
2021-09-05T06:39:43.000Z,27.4,
2021-09-05T06:49:43.000Z,27.4,
2021-09-05T06:59:43.000Z,27.4,
2021-09-05T07:09:43.000Z,27.5,
2021-09-05T07:19:43.000Z,27.5,
2021-09-05T07:29:43.000Z,27.5,
2021-09-05T07:39:43.000Z,27.5,
2021-09-05T07:49:43.000Z,27.5,
2021-09-05T07:59:43.000Z,27.6,
2021-09-05T08:09:43.000Z,27.7,
2021-09-05T08:19:43.000Z,27.7,
2021-09-05T08:29:43.000Z,27.8,
2021-09-05T08:39:43.000Z,27.9,
2021-09-05T08:49:43.000Z,28.1,
2021-09-05T08:59:43.000Z,28.2,
2021-09-05T09:09:43.000Z,28.3,
2021-09-05T09:19:43.000Z,28.4,
2021-09-05T09:29:43.000Z,28.5,
2021-09-05T09:39:43.000Z,28.6,
2021-09-05T09:49:43.000Z,28.7,
2021-09-05T09:59:43.000Z,28.8,
2021-09-05T10:09:43.000Z,28.9,
2021-09-05T10:19:43.000Z,29.1,
2021-09-05T10:29:43.000Z,29.2,
2021-09-05T10:39:43.000Z,29.3,
2021-09-05T10:49:43.000Z,29.5,
2021-09-05T10:59:43.000Z,29.6,
2021-09-05T11:09:43.000Z,29.8,
2021-09-05T11:19:43.000Z,30,
