serie,titre,tome,isbn,genre,nom_s,prenom_s,nom_d,prenom_d,editeur,date_parution
Trolls de Troy,Histoires trolles,1,2877645916,Héroic - Fantasy,Arleston, Christophe,Mourier, Jean-Louis,Soleil Productions,1997-06-01
Lanfeust de Troy,Le frisson de l'Haruspice,5,2877646467,Héroic - Fantasy,Arleston, Christophe,Tarquin, Didier,Soleil Productions,1997-10-01
Kookaburra,Secteur WBH3,2,2877646602,Science-Fiction,Crisse, Didier,Crisse, Didier,Soleil Productions,1997-11-01
Trolls de Troy,Le scalp du vénérable,2,2877647129,Héroic - Fantasy,Arleston, Christophe,Mourier, Jean-Louis,Soleil Productions,1998-06-01
Lanfeust de Troy,Cixi impératrice,6,2877647951,Héroic - Fantasy,Arleston, Christophe,Tarquin, Didier,Soleil Productions,1998-10-01
Kookaburra,Projet Équinoxe,3,2877648060,Science-Fiction,Crisse, Didier,Crisse, Didier,Soleil Productions,1998-11-01
Trolls de Troy,Comme un vol de pétaures,3,2877648494,Héroic - Fantasy,Arleston, Christophe,Mourier, Jean-Louis,Soleil Productions,1999-05-01
Lanfeust de Troy,Les pétaures se cachent pour mourir,7,2877649237,Héroic - Fantasy,Arleston, Christophe,Tarquin, Didier,Soleil Productions,1999-11-01
Atalante,Le pacte,1,2877649385,Héroic - Fantasy,Crisse, Didier,Crisse, Didier,Soleil Productions,2000-05-01
Lanfeust de Troy,Thanos l'incongru,2,2877673069,Héroic - Fantasy,Arleston, Christophe,Tarquin, Didier,Soleil Productions,1996-10-01
Nabuchodinosaure,Chroniques de l'apeupréhistoire,2,2882570171,Humour,Herlé,,Widenlocher, Roger,Dargaud,1992-05-12
Nabuchodinosaure,Humo sapiens,4,2882570236,Humour,Herlé,,Widenlocher, Roger,Dargaud,1994-03-01
Gipsy,Les feux de Sibérie,2,2882570341,Science-Fiction,Smolderen, Thierry,Marini, Enrico,Dargaud,1995-06-01
Gipsy,Les yeux noirs,4,2882570384,Science-Fiction,Smolderen, Thierry,Marini, Enrico,Dargaud,1997-09-01
Gipsy,L'aile blanche,5,2882570430,Science-Fiction,Smolderen, Thierry,Marini, Enrico,Dargaud,1999-09-01
Gipsy,Le jour du Tsar,3,2882570465,Science-Fiction,Smolderen, Thierry,Marini, Enrico,Dargaud,1999-09-01
Gipsy,Le rire Aztèque,6,2882570678,Science-Fiction,Smolderen, Thierry,Marini, Enrico,Dargaud,2002-05-01
